2021-05-26 14:58:52 +03:00 [Info] Parsing args...
2021-05-26 14:58:52 +03:00 [Degub] Logging to file at ./snafler.log
2021-05-26 14:58:52 +03:00 [Degub] Requested verbosity level: debug
2021-05-26 14:58:52 +03:00 [Degub] Enabled logging to stdout.
2021-05-26 14:58:52 +03:00 [Degub] Enabled use of domain user accounts in rules.
2021-05-26 14:58:52 +03:00 [Info] Parsed args successfully.
2021-05-26 14:58:52 +03:00 [Degub] Set verbosity level to degub.
2021-05-26 14:58:52 +03:00 [Info] Getting users and computers from AD.
2021-05-26 14:58:53 +03:00 [Info] Got 1005 computers from AD.
2021-05-26 14:58:53 +03:00 [Info] Starting to find readable shares.
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for Orlando.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for corvette.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for hummer.mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for TIPO.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for Malibu.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for Fiat.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for Fiat-QA.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for PAJERO2.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for HUNTER2.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for PAJERO1.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for HUNTER01.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for ASD-PC.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for zero6.mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for zero5.mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for zero4.mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for monica.mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for Lexus.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for LAP-DR2.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for LAP-DR10.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for LAP-DR3.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for LAP-DR4.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for chevrolet_OLD.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for LAP-DR6.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for LAP-DR11.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for LAP-DR18.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for LAP-DR1.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for LAP-DR7.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for Accord.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for ACCORD2.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for ACCORD1.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for LAP-DR14.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for CHARGER.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for LAP-DR5.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for LAP-DR8.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for OCTAVIA.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for Breeze.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for Chevrolet.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for Duster.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for PANDA.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for MimunDAG.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for zero01dr.mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for Colt.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for Escape2.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for zero02dr.mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for Ford1.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for Escape1.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for Superb01.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for Mustang2-old.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for Mustang1.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for Ford2.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for Yukon.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for Edge1.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for SHELBY.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for celica.mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for Ibiza.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for PostBank_Service.Mimuny.local
2021-05-26 14:58:53 +03:00 [Info] Creating a sharefinder task for Edge2.Mimuny.local
